               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030409,            0.013303,           0.0036374,             0.82445,             0.84102,             0.87548,             0.57083,            0.028837,           0.0077833,           0.0049453,            0.006535,            0.006535,            0.006535
                  37,            0.029159,            0.013322,           0.0032403,              0.8158,             0.89898,              0.8949,             0.59195,            0.027626,           0.0076979,           0.0045776,            0.006436,            0.006436,            0.006436
                  38,            0.030134,            0.013731,           0.0030472,               0.838,             0.86587,             0.89799,             0.57248,            0.028731,           0.0074818,           0.0042549,            0.006337,            0.006337,            0.006337
                  39,            0.029431,            0.013292,           0.0028484,             0.78135,             0.89244,             0.89021,             0.58252,             0.02835,           0.0077354,           0.0064378,            0.006238,            0.006238,            0.006238
                  40,            0.029598,            0.012384,           0.0035462,             0.78695,             0.88611,             0.88108,             0.56965,            0.028058,           0.0079952,           0.0048222,            0.006139,            0.006139,            0.006139
                  41,            0.028619,            0.013791,           0.0028061,              0.8105,             0.88905,             0.88902,             0.58049,            0.028069,           0.0078596,           0.0044572,             0.00604,             0.00604,             0.00604
                  42,            0.027893,            0.013376,           0.0028853,             0.81682,             0.84357,             0.88842,             0.58021,            0.027024,           0.0083256,           0.0041534,            0.005941,            0.005941,            0.005941
                  43,            0.028955,            0.013108,            0.002963,             0.85954,             0.82429,             0.90431,             0.60407,            0.026668,           0.0079557,           0.0040934,            0.005842,            0.005842,            0.005842
                  44,            0.028553,            0.013216,           0.0032007,             0.79683,             0.87001,             0.89293,             0.58771,            0.027167,           0.0082129,           0.0052546,            0.005743,            0.005743,            0.005743
                  45,            0.027036,            0.012839,           0.0025939,             0.83768,             0.88072,             0.88915,              0.5598,            0.029509,           0.0080303,           0.0049482,            0.005644,            0.005644,            0.005644
                  46,            0.027755,             0.01312,           0.0027874,             0.85993,              0.8561,             0.88196,             0.57403,            0.027329,           0.0078892,           0.0045694,            0.005545,            0.005545,            0.005545
                  47,            0.026528,            0.012176,           0.0024346,             0.84892,             0.81978,             0.90201,             0.59781,            0.027622,           0.0079552,           0.0042254,            0.005446,            0.005446,            0.005446
                  48,            0.026341,            0.012776,           0.0027714,             0.78853,             0.85007,             0.88293,             0.58599,            0.027843,            0.008292,           0.0047709,            0.005347,            0.005347,            0.005347
                  49,            0.027224,            0.012671,           0.0027974,             0.86749,             0.82099,             0.88634,             0.60175,            0.027683,           0.0082132,           0.0052387,            0.005248,            0.005248,            0.005248
                  50,            0.026324,            0.012221,           0.0027717,             0.81371,             0.85884,             0.88363,             0.60418,            0.026929,           0.0081455,           0.0059284,            0.005149,            0.005149,            0.005149
                  51,            0.026488,            0.012568,           0.0026738,             0.77678,             0.89891,             0.88439,              0.5997,            0.027087,           0.0081072,           0.0057053,             0.00505,             0.00505,             0.00505
                  52,            0.025629,            0.012546,           0.0024417,             0.84174,              0.8277,             0.89803,             0.58765,            0.027397,           0.0078718,            0.005393,            0.004951,            0.004951,            0.004951
                  53,            0.026015,            0.011915,           0.0023223,             0.84618,             0.88494,             0.90346,             0.59575,            0.027123,           0.0076717,           0.0044975,            0.004852,            0.004852,            0.004852
                  54,            0.026288,            0.012629,           0.0023936,              0.8627,             0.86045,             0.89777,             0.60516,            0.026836,           0.0076591,           0.0046921,            0.004753,            0.004753,            0.004753
                  55,            0.026093,            0.012833,           0.0021703,              0.8361,             0.87314,             0.89579,             0.60852,            0.026207,           0.0078676,           0.0047768,            0.004654,            0.004654,            0.004654
                  56,            0.025125,            0.012148,           0.0020255,              0.8307,             0.87995,             0.89542,             0.59612,            0.026788,           0.0080227,           0.0052002,            0.004555,            0.004555,            0.004555
                  57,            0.025169,            0.011457,           0.0019043,             0.84308,             0.86276,             0.90102,             0.61853,            0.026381,           0.0078909,           0.0044954,            0.004456,            0.004456,            0.004456
                  58,            0.024534,            0.012273,           0.0021179,             0.81996,             0.86075,             0.88857,              0.5959,            0.027201,           0.0080286,           0.0052157,            0.004357,            0.004357,            0.004357
                  59,            0.024893,            0.012242,           0.0021137,               0.828,             0.88073,             0.89692,             0.60103,            0.027191,           0.0078535,           0.0049163,            0.004258,            0.004258,            0.004258
                  60,            0.025717,            0.011962,           0.0019903,             0.81059,             0.91257,             0.89643,             0.60521,            0.027473,           0.0082907,           0.0050699,            0.004159,            0.004159,            0.004159
